Facility Number,School Type,Facility Name,Facility Address,County,Tdap/Td,Meningococcal,Hepatitis A,Hepatitis B,MMR,Polio,Varicella
9103901000,Public ISD,CHANNING ISD,"P O BOX 9, CHANNING, TX, .",Hartley,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%
9227814000,Public ISD,CHAPARRAL STAR ACADEMY,"14046 SUMMIT DR, AUSTIN, TX, .",Travis,90.4761904761905%,90.4761904761905%,95.2380952380952%,97.6190476190476%,95.2380952380952%,97.6190476190476%,92.8571428571429%
9220815000,Public ISD,CHAPEL HILL ACADEMY,"3131 SANGUINET ST, FORT WORTH, TX, .",Tarrant,100%,100%,100%,100%,100%,100%,100%
9225906000,Public ISD,CHAPEL HILL ISD,"1069 CR 4660, MOUNT PLEASANT, TX, .",Titus,97.1428571428571%,97.1428571428571%,97.1428571428571%,97.1428571428571%,97.1428571428571%,97.1428571428571%,97.1428571428571%
9007901000,Public ISD,CHARLOTTE ISD,"P O BOX 489, CHARLOTTE, TX, .",Atascosa,100%,100%,100%,100%,100%,100%,100%
9206903000,Public ISD,CHEROKEE ISD,"P O BOX 100, CHEROKEE, TX, .",San Saba,100%,100%,100%,100%,100%,100%,87.5%
9229906000,Public ISD,CHESTER ISD,"273 YELLOWJACKET DR, CHESTER, TX, .",Tyler,86.6666666666667%,86.6666666666667%,86.6666666666667%,86.6666666666667%,86.6666666666667%,86.6666666666667%,86.6666666666667%
9249904000,Public ISD,CHICO ISD,"P O BOX 95, CHICO, TX, .",Wise,84.0909090909091%,84.0909090909091%,100%,100%,100%,100%,100%
9038901000,Public ISD,CHILDRESS ISD,"P O BOX 179, CHILDRESS, TX, .",Childress,98.6111111111111%,100%,95.8333333333333%,98.6111111111111%,95.8333333333333%,97.2222222222222%,97.2222222222222%
9099902000,Public ISD,CHILLICOTHE ISD,"P O BOX 418, CHILLICOTHE, TX, .",Hardeman,91.6666666666667%,91.6666666666667%,100%,100%,100%,100%,100%
9073901000,Public ISD,CHILTON ISD,"P O BOX 488, CHILTON, TX, .",Falls,100%,100%,100%,100%,100%,100%,100%
9161920000,Public ISD,CHINA SPRING ISD,"P O BOX 250, CHINA SPRING, TX, .",Mclennan,97.6470588235294%,97.6470588235294%,97.6470588235294%,97.6470588235294%,97.6470588235294%,97.6470588235294%,97.6470588235294%
9174901000,Public ISD,CHIRENO ISD,"P O BOX 85, CHIRENO, TX, .",Nacogdoches,100%,100%,100%,100%,100%,100%,100%
9139905000,Public ISD,CHISUM ISD,"3250 S CHURCH ST, PARIS, TX, .",Lamar,95.5555555555556%,95.5555555555556%,94.4444444444445%,95.5555555555556%,95.5555555555556%,95.5555555555556%,94.4444444444445%
9226901000,Public ISD,CHRISTOVAL ISD,"P O BOX 162, CHRISTOVAL, TX, .",Tom Green,85.7142857142857%,85.7142857142857%,93.8775510204082%,93.8775510204082%,93.8775510204082%,93.8775510204082%,93.8775510204082%
9067902000,Public ISD,CISCO ISD,"P O BOX 1645, CISCO, TX, .",Eastland,89.5833333333333%,89.5833333333333%,89.5833333333333%,89.5833333333333%,89.5833333333333%,89.5833333333333%,89.5833333333333%
9243906000,Public ISD,CITY VIEW ISD,"1600-A CITY VIEW DR, WICHITA FALLS, TX, .",Wichita,98.0582524271845%,98.0582524271845%,98.0582524271845%,98.0582524271845%,98.0582524271845%,98.0582524271845%,98.0582524271845%
9057841000,Public ISD,CITYSCAPE SCHOOLS,"630 TEXAS ST, DALLAS, TX, .",Dallas,82.5581395348837%,83.7209302325582%,94.1860465116279%,96.5116279069768%,95.3488372093024%,93.0232558139535%,95.3488372093024%
9065901000,Public ISD,CLARENDON ISD,"416 S ALLEN, CLARENDON, TX, .",Donley,100%,100%,96%,96%,100%,96%,100%
9194904000,Public ISD,CLARKSVILLE ISD,"1500 W MAIN ST, CLARKSVILLE, TX, .",Red River,79.4871794871795%,74.3589743589744%,97.4358974358975%,100%,97.4358974358975%,100%,97.4358974358975%
9006902000,Public ISD,CLAUDE ISD,"P O BOX 209, CLAUDE, TX, .",Armstrong,90%,90%,90%,90%,90%,90%,90%
9084910000,Public ISD,CLEAR CREEK ISD,"P O BOX 799, LEAGUE CITY, TX, .",Galveston,94.375%,94.375%,97.9934210526316%,98.4539473684211%,98.0921052631579%,98.0592105263158%,97.8947368421053%
9126903000,Public ISD,CLEBURNE ISD,"505 N RIDGEWAY STE 100, CLEBURNE, TX, .",Johnson,96.0076045627376%,95.8174904942966%,97.5285171102662%,97.7186311787072%,98.2889733840304%,98.0988593155894%,97.7186311787072%
9146901000,Public ISD,CLEVELAND ISD,"316 E DALLAS ST, CLEVELAND, TX, .",Liberty,99.2628992628993%,99.6314496314496%,98.4029484029484%,99.6314496314496%,99.7542997542998%,99.3857493857494%,99.2628992628993%
9018901000,Public ISD,CLIFTON ISD,"1102 KEY AVE, CLIFTON, TX, .",Bosque,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%
9071901000,Public ISD,CLINT ISD,"14521 HORIZON BLVD, EL PASO, TX, .",El Paso,83.8666666666667%,82.8%,98.8%,99.4666666666667%,99.4666666666667%,99.0666666666667%,98.8%
9030902000,Public ISD,CLYDE CISD,"526 SHALIMAR DR, CLYDE, TX, .",Callahan,98.9690721649485%,98.9690721649485%,98.9690721649485%,98.9690721649485%,98.9690721649485%,98.9690721649485%,98.9690721649485%
9114902000,Public ISD,COAHOMA ISD,"P O BOX 110, COAHOMA, TX, .",Howard,92.6829268292683%,92.6829268292683%,92.6829268292683%,93.9024390243902%,93.9024390243902%,93.9024390243902%,92.6829268292683%
9204901000,Public ISD,COLDSPRING-OAKHURST CISD,"P O BOX 39, COLDSPRING, TX, .",San Jacinto,95.4128440366973%,94.4954128440367%,95.4128440366973%,95.4128440366973%,96.3302752293578%,95.4128440366973%,95.4128440366973%
9042901000,Public ISD,COLEMAN ISD,"2302 S COMMERCIAL AVE, COLEMAN, TX, .",Coleman,96.875%,96.875%,93.75%,96.875%,96.875%,96.875%,93.75%
9021901000,Public ISD,COLLEGE STATION ISD,"1812 WELSH AVE, COLLEGE STATION, TX, .",Brazos,97.1322849213691%,97.1322849213691%,97.9648473635523%,97.8723404255319%,98.149861239593%,98.149861239593%,97.9648473635523%
9091902000,Public ISD,COLLINSVILLE ISD,"500 REEVES, COLLINSVILLE, TX, .",Grayson,94.8717948717949%,94.8717948717949%,100%,100%,100%,100%,100%
9229901000,Public ISD,COLMESNEIL ISD,"P O BOX 37, COLMESNEIL, TX, .",Tyler,94.1176470588235%,94.1176470588235%,88.2352941176471%,94.1176470588235%,94.1176470588235%,94.1176470588235%,94.1176470588235%
9168901000,Public ISD,COLORADO ISD,"P O BOX 1268, COLORADO CITY, TX, .",Mitchell,100%,100%,100%,100%,100%,100%,100%
9020907000,Public ISD,COLUMBIA-BRAZORIA ISD,"P O BOX 158, WEST COLUMBIA, TX, .",Brazoria,95.8715596330275%,95.4128440366973%,98.6238532110092%,98.6238532110092%,98.6238532110092%,98.6238532110092%,98.6238532110092%
9045902000,Public ISD,COLUMBUS ISD,"105 CARDINAL LN, COLUMBUS, TX, .",Colorado,96.3636363636364%,98.1818181818182%,98.1818181818182%,98.1818181818182%,97.2727272727273%,97.2727272727273%,97.2727272727273%
9046902000,Public ISD,COMAL ISD,"1404 IH 35 N, NEW BRAUNFELS, TX, .",Comal,94.5485519591141%,94.7189097103918%,97.6575809199319%,97.8279386712095%,97.7427597955707%,97.6575809199319%,97.4446337308348%
9047901000,Public ISD,COMANCHE ISD,"200 E HIGHLAND, COMANCHE, TX, .",Comanche,100%,99.009900990099%,100%,100%,100%,100%,100%
9130902000,Public ISD,COMFORT ISD,"P O BOX 398, COMFORT, TX, .",Kendall,93.421052631579%,93.421052631579%,94.7368421052632%,94.7368421052632%,94.7368421052632%,94.7368421052632%,94.7368421052632%
9116903000,Public ISD,COMMERCE ISD,"3315 WASHINGTON ST, COMMERCE, TX, .",Hunt,97.2477064220184%,97.2477064220184%,99.0825688073395%,99.0825688073395%,99.0825688073395%,99.0825688073395%,99.0825688073395%
9043918000,Public ISD,COMMUNITY ISD,"P O BOX 400, NEVADA, TX, .",Collin,97.3045822102426%,97.3045822102426%,97.3045822102426%,98.1132075471698%,98.3827493261455%,98.3827493261455%,98.3827493261455%
